<ID|readonly|noverify>;<English>;<Comments>
structures/dummy_arcade_0;Base building;
structures/dummy_arcade_1;Base building;
structures/dummy_arcade_2;Base building;
structures/dummy_airfield_0;Airfield;
structures/dummy_airfield_1;Airfield;
structures/dummy_airfield_2;Airfield;
structures/flag_victory_0;Flag;
structures/flag_victory_1;Flag;
structures/flag_victory_2;Flag;
structures/dummy_airfield_5k_0;Airfield;
structures/dummy_airfield_5k_1;Airfield;
structures/dummy_airfield_5k_2;Airfield;
structures/dummy_bombtarget_0;Bombing point;
structures/dummy_bombtarget_1;Bombing point;
structures/dummy_bombtarget_2;Bombing point;
structures/dummy_bombtarget_airfield_0;Runway;
structures/dummy_bombtarget_airfield_1;Runway;
structures/dummy_bombtarget_airfield_2;Runway;
structures/tank_target_10a_char_0;Target №10a;
structures/tank_target_10a_char_1;Target №10a;
structures/tank_target_10a_char_2;Target №10a;
structures/tank_target_12_char_0;Target №12;
structures/tank_target_12_char_1;Target №12;
structures/tank_target_12_char_2;Target №12;
structures/tank_target_17_char_0;Target №17;
structures/tank_target_17_char_1;Target №17;
structures/tank_target_17_char_2;Target №17;
structures/tank_target_25_char_0;Target №25;
structures/tank_target_25_char_1;Target №25;
structures/tank_target_25_char_2;Target №25;
structures/tank_target_8_char_0;Target №8;
structures/tank_target_8_char_1;Target №8;
structures/tank_target_8_char_2;Target №8;
structures/tank_target_9_char_0;Target №9;
structures/tank_target_9_char_1;Target №9;
structures/tank_target_9_char_2;Target №9;
unic_wheeler_hangar;Hangar;
unic_wheeler_hangar_0;Hangar;
unic_wheeler_hangar_1;Hangar;
unic_wheeler_hangar_2;Hangar;
air_defence/searchLight_0;Search light;
air_defence/searchLight_1;Search light;
air_defence/searchLight_2;Search light;
air_defence/searchLightTop_0;Search light;
air_defence/searchLightTop_1;Search light;
air_defence/searchLightTop_2;Search light;
structures/barrage_balloon_b_unit_0;Barrage balloon;
structures/barrage_balloon_b_unit_1;Barrage balloon;
structures/barrage_balloon_b_unit_2;Balloon;
structures/barrage_balloon_unit_0;Barrage balloon;
structures/barrage_balloon_unit_1;Barrage balloon;
structures/barrage_balloon_unit_2;Balloon;
structures/barrage_balloon_unit_light_0;Barrage balloon;
structures/barrage_balloon_unit_light_1;Barrage balloon;
structures/barrage_balloon_unit_light_2;Balloon;
structures/watch_tower_0;Watchtower;
structures/watch_tower_1;Watchtower;
structures/watch_tower_2;Watchtower;
structures/stuff_barrels_0;Barrels;
structures/stuff_barrels_1;Barrels;
structures/stuff_barrels_2;Barrels;
structures/stuff_caissons_0;Caissons;
structures/stuff_caissons_1;Caissons;
structures/stuff_caissons_2;Caissons;
structures/stuff_tentBarrels_0;Barrels;
structures/stuff_tentBarrels_1;Barrels;
structures/stuff_tentBarrels_2;Barrels;
structures/stuff_tentCaissons_0;Caissons;
structures/stuff_tentCaissons_1;Caissons;
structures/stuff_tentCaissons_2;Caissons;
structures/uk_bunker_with_naval_cannon_0;Pillbox;
structures/uk_bunker_with_naval_cannon_1;Pillbox;
structures/uk_bunker_with_naval_cannon_2;Pillbox;
structures/uk_bunker_0;Pillbox;
structures/uk_bunker_1;Pillbox;
structures/uk_bunker_2;Pillbox;
structures/uk_bunker_extra_heavy_0;Large pillbox;
structures/uk_bunker_extra_heavy_1;Large pillbox;
structures/uk_bunker_extra_heavy_2;Large pillbox;
structures/uk_bunker_light_0;Small pillbox;
structures/uk_bunker_light_1;Small pillbox;
structures/uk_bunker_light_2;Small pillbox;
structures/uk_bunker_light_fat_0;Small pillbox;
structures/uk_bunker_light_fat_1;Small pillbox;
structures/uk_bunker_light_fat_2;Small pillbox;
structures/berlin_bridge_01_0;Bridge;
structures/berlin_bridge_01_1;Bridge;
structures/berlin_bridge_01_2;Bridge;
structures/berlin_bridge_02_0;Bridge;
structures/berlin_bridge_02_1;Bridge;
structures/berlin_bridge_02_2;Bridge;
structures/berlin_bridge_03_0;Bridge;
structures/berlin_bridge_03_1;Bridge;
structures/berlin_bridge_03_2;Bridge;
structures/berlin_bridge_04_0;Bridge;
structures/berlin_bridge_04_1;Bridge;
structures/berlin_bridge_04_2;Bridge;
structures/berlin_bridge_05_0;Bridge;
structures/berlin_bridge_05_1;Bridge;
structures/berlin_bridge_05_2;Bridge;
structures/berlin_bridge_06_0;Bridge;
structures/berlin_bridge_06_1;Bridge;
structures/berlin_bridge_06_2;Bridge;
structures/beton_rail_br_0;Bridge;
structures/beton_rail_br_1;Bridge;
structures/beton_rail_br_2;Bridge;
structures/beton_road_br_0;Bridge;
structures/beton_road_br_1;Bridge;
structures/beton_road_br_2;Bridge;
structures/beton_simple_br_0;Bridge;
structures/beton_simple_br_1;Bridge;
structures/beton_simple_br_2;Bridge;
structures/wood_simple_br_0;Bridge;
structures/wood_simple_br_1;Bridge;
structures/wood_simple_br_2;Bridge;
structures/bridge_rail_br_0;Bridge;
structures/bridge_rail_br_1;Bridge;
structures/bridge_rail_br_2;Bridge;
structures/bridge_road_br_0;Bridge;
structures/bridge_road_br_1;Bridge;
structures/bridge_road_br_2;Bridge;
structures/bridge_sample_0;Bridge;
structures/bridge_sample_1;Bridge;
structures/bridge_sample_2;Bridge;
structures/bridge_stone_bu_0;Bridge;
structures/bridge_stone_bu_1;Bridge;
structures/bridge_stone_bu_2;Bridge;
structures/city_bridge_br_0;Bridge;
structures/city_bridge_br_1;Bridge;
structures/city_bridge_br_2;Bridge;
structures/mission_beton_simple_br_0;Bridge;
structures/mission_beton_simple_br_1;Bridge;
structures/mission_beton_simple_br_2;Bridge;
structures/mission_beton_rail_br_0;Bridge;
structures/mission_beton_rail_br_1;Bridge;
structures/mission_beton_rail_br_2;Bridge;
structures/mission_beton_road_br_0;Bridge;
structures/mission_beton_road_br_1;Bridge;
structures/mission_beton_road_br_2;Bridge;
structures/bridge_mound_dynmodel_0;Bridge;
structures/bridge_mound_dynmodel_1;Bridge;
structures/bridge_mound_dynmodel_2;Bridge;
structures/rail_simple_br_0;Bridge;
structures/rail_simple_br_1;Bridge;
structures/rail_simple_br_2;Bridge;
low_case;Low case;
fir_ny;Christmas tree;
fir_ny_0;Christmas tree;
fir_ny_1;Christmas tree;
